Trait,N samples,GWAS Catalog Accession Number
IgD+ %B cell,3756,GCST90001391
IgD+ CD38br AC,3754,GCST90001392
IgD+ CD38dim %B cell,3755,GCST90001393
IgD+ CD38dim AC,3754,GCST90001394
IgD+ CD38- %B cell,3755,GCST90001395
IgD+ CD38- AC,3754,GCST90001396
Unsw mem %B cell,3755,GCST90001397
Unsw mem AC,3754,GCST90001398
IgD- CD27- %B cell,3755,GCST90001399
IgD+ AC,3755,GCST90001400
IgD- CD27- AC,3754,GCST90001401
Sw mem %B cell,3755,GCST90001402
Sw mem AC,3754,GCST90001403
PB/PC %B cell,3756,GCST90001404
PB/PC AC,3755,GCST90001405
Memory B cell %B cell,3755,GCST90001406
Memory B cell AC,3754,GCST90001407
Naive-mature B cell %B cell,3755,GCST90001408
Naive-mature B cell AC,3754,GCST90001409
IgD- CD38br %B cell,3755,GCST90001410
IgD+ CD24+ %B cell,3755,GCST90001411
IgD+ CD24+ AC,3754,GCST90001412
IgD- CD24- %B cell,3755,GCST90001413
IgD- CD24- AC,3754,GCST90001414
IgD+ CD24- %B cell,3755,GCST90001415
IgD+ CD24- AC,3754,GCST90001416
CD24+ CD27+ %B cell,3755,GCST90001417
CD24+ CD27+ AC,3754,GCST90001418
CD20- %B cell,3756,GCST90001419
IgD- CD38br AC,3754,GCST90001420
CD20- AC,3755,GCST90001421
CD20- CD38- %B cell,3757,GCST90001422
CD20- CD38- AC,3756,GCST90001423
IgD+ %Lymphocyte,3755,GCST90001424
IgD- CD38br %lymphocyte,3754,GCST90001425
IgD- CD38dim %lymphocyte,3754,GCST90001426
IgD- CD38- %lymphocyte,3754,GCST90001427
IgD- CD38dim %B cell,3755,GCST90001428
IgD+ CD38br %lymphocyte,3754,GCST90001429
IgD+ CD38dim %lymphocyte,3754,GCST90001430
IgD+ CD38- %lymphocyte,3754,GCST90001431
Unsw Mem %lymphocyte,3754,GCST90001432
IgD- CD27- %lymphocyte,3754,GCST90001433
Sw mem %lymphocyte,3754,GCST90001434
PB/PC %lymphocyte,3755,GCST90001435
Memory B cell %lymphocyte,3754,GCST90001436
Naive-mature B cell %lymphocyte,3754,GCST90001437
IgD- CD38dim AC,3754,GCST90001438
IgD+ CD24+ %lymphocyte,3754,GCST90001439
IgD- CD24- %lymphocyte,3754,GCST90001440
IgD+ CD24- %lymphocyte,3754,GCST90001441
CD24+ CD27+ %lymphocyte,3754,GCST90001442
CD20- %lymphocyte,3755,GCST90001443
CD20- CD38- %lymphocyte,3756,GCST90001444
IgD- CD38- %B cell,3755,GCST90001445
IgD- CD38- AC,3754,GCST90001446
IgD+ CD38br %B cell,3755,GCST90001447
CD11c+ monocyte AC,3020,GCST90001448
CD11c+ monocyte %monocyte,3043,GCST90001449
CD62L- monocyte AC,3019,GCST90001450
CD62L- monocyte %monocyte,3042,GCST90001451
CD11c+ CD62L- monocyte AC,3017,GCST90001452
CD11c+ CD62L- monocyte %monocyte,3040,GCST90001453
CD62L- HLA DR++ monocyte AC,3018,GCST90001454
CD62L- HLA DR++ monocyte %monocyte,3041,GCST90001455
CD11c+ HLA DR++ monocyte AC,3019,GCST90001456
CD11c+ HLA DR++ monocyte %monocyte,3042,GCST90001457
Myeloid DC AC,3387,GCST90001458
Myeloid DC %DC,3410,GCST90001459
Plasmacytoid DC AC,3374,GCST90001460
DC AC,3374,GCST90001461
CD62L- DC AC,3387,GCST90001462
CD62L- DC %DC,3410,GCST90001463
CD86+ myeloid DC AC,3387,GCST90001464
CD86+ myeloid DC %DC,3410,GCST90001465
CD86+ plasmacytoid DC AC,3374,GCST90001466
CD86+ plasmacytoid DC %DC,3410,GCST90001467
CD62L- myeloid DC AC,3387,GCST90001468
CD62L- myeloid DC %DC,3410,GCST90001469
CD62L- plasmacytoid DC AC,3374,GCST90001470
CD62L- plasmacytoid DC %DC,3410,GCST90001471
CD62L- CD86+ myeloid DC AC,3387,GCST90001472
CD62L- CD86+ myeloid DC %DC,3410,GCST90001473
Plasmacytoid DC %DC,3410,GCST90001474
HLA DR++ monocyte %monocyte,3595,GCST90001475
HLA DR++ monocyte %leukocyte,3595,GCST90001476
HLA DR++ monocyte AC,3579,GCST90001477
CD4 Treg %CD4,3437,GCST90001478
CD4 Treg %T cell,3437,GCST90001479
Resting Treg AC,3405,GCST90001480
